Part,Supplier,LeadTime
SILICON-INGOT,SUMCO,30
SILICON-INGOT,SHIN-ETSU,28
SILICON-INGOT,SILTRONIC,35
PHOTOMASK-7NM,HOYA,45
PHOTOMASK-7NM,DAI-NIPPON,50
PHOTOMASK-28NM,HOYA,30
PHOTOMASK-28NM,TOPPAN,28
PHOTORESIST,TOK,14
PHOTORESIST,JSR-MICRO,16
ETCH-CHEM,FUJIFILM,10
SOLDER-BUMP,SENJU-METAL,8
SOLDER-BUMP,INDIUM-CORP,10
BGA-SUBSTRATE,IBIDEN,21
BGA-SUBSTRATE,SHINKO-ELEC,25
UNDERFILL,NAMICS,7
LID-HEATSINK,COOLIANCE,14
QFN-LEADFRAME,MITSUI-HIGH,12
BOND-WIRE-AU,HERAEUS,8
MOLD-COMPOUND,SUMITOMO-BAK,10
DIE-RF-BOUGHT,QUALCOMM,60
DIE-PA-BOUGHT,SKYWORKS,45
DIE-PA-BOUGHT,QORVO,42
FILTER-SAW,MURATA,21
FILTER-SAW,TDK-CORP,24
SIP-SUBSTRATE,UNIMICRON,28
PHOTOMASK-EUV,ASML-LITHO,55
PHOTOMASK-EUV,NIKON-PREC,52
GPU-INTERPOSER,IBIDEN,25
GPU-INTERPOSER,SHINKO-ELEC,28
GPU-UNDERFILL,NAMICS,7
GPU-LID,COOLIANCE,16
MICROBUMP,SENJU-METAL,6
MICROBUMP,INDIUM-CORP,8
PHOTOMASK-IOT,HOYA,28
PHOTOMASK-IOT,TOPPAN,25
DFN-LEADFRAME,MITSUI-HIGH,10
BOND-WIRE-CU,HERAEUS,6
BOND-WIRE-CU,TANAKA-KIKI,7
EPOXY-COMPOUND,SUMITOMO-BAK,9
DIE-WIFI,BROADCOM,50
DIE-WIFI,MEDIATEK,45
DIE-BT,NORDIC-SEMI,30
FILTER-BAW,MURATA,18
FILTER-BAW,QUALCOMM,22
AIP-SUBSTRATE,UNIMICRON,24
AIP-SUBSTRATE,AT-S,26
